ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
FLFR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FLHK,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FLIY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FLLV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FLZA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
FM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
FMIL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
FOVL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
FSBD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
FSLD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FSMO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
FSST,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
FUE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FUNL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
FYLG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.018,no
GAST,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
GAZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GBLD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
GBUY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
GCLN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
GDFN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
GDVD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GENY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GERM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GFOF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
GHEE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.016,no
GHMS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
GLCN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
GLDX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
GLDY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.012,no
GLIF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
GLOV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
GMUN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
GPOW,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
GREI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
GRES,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
GRU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GSFP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
GSIG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
GSP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
GXG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
GXTG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
HAPY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
HART,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
HCOM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
HDAW,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HDRO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HEAT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HEJD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
HEWC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HEWG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
HEWU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
HIYS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
HJEN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HKND,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
HLGE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HOCT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
HOM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
HSRT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
HSUN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
HVAL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
HYGI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
HYLD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
HYLG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
HYMU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
HYRM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
